2018-10-23T10:13:41.661Z INFO  enc-event-client-app - Event=health, health=GOOD, reason=good, subsystem time=2018-10-23T10:13:41.661Z, hcd time=NA, assembly time=2018-10-23T10:13:41.661Z, subscriber time=NA, Duration(hcd to subscriber in ms)=NA, Duration(subsystem to subscriber in ms)=NA, Duration(hcd to assembly in ms)=NA
2018-10-23T10:13:41.661Z INFO  enc-event-client-app - Event=diagnostic, diagnostics=(5,6,7,8,9,5,3,2,1,2,3,5,6,7,8), param2=NA, subsystem time=2018-10-23T10:13:41.661Z, hcd time=NA, assembly time=NA, subscriber time=NA, Duration(hcd to subscriber in ms)=NA, Duration(subsystem to subscriber in ms)=NA, Duration(hcd to assembly in ms)=NA
2018-10-23T10:13:41.664Z INFO  enc-event-client-app - Event=assemblyState, Lifecycle state=Initialized, operational state=Idle, subsystem time=NA, hcd time=NA, assembly time=2018-10-23T10:13:41.632Z, subscriber time=NA, Duration(hcd to subscriber in ms)=NA, Duration(subsystem to subscriber in ms)=NA, Duration(hcd to assembly in ms)=NA
2018-10-23T10:13:41.672Z INFO  enc-event-client-app - Event=currentPosition, base=0.12, cap=0.06, subsystem time=2018-10-23T10:13:41.671Z, hcd time=2018-10-23T10:13:41.671Z, assembly time=2018-10-23T10:13:41.671Z, subscriber time=2018-10-23T10:13:41.672Z, Duration(hcd to subscriber in ms)=1, Duration(subsystem to subscriber in ms)=1, Duration(hcd to assembly in ms)=0
2018-10-23T10:13:41.672Z INFO  enc-event-client-app - Event=currentPosition, base=0.12, cap=0.06, subsystem time=2018-10-23T10:13:41.671Z, hcd time=2018-10-23T10:13:41.671Z, assembly time=2018-10-23T10:13:41.671Z, subscriber time=2018-10-23T10:13:41.672Z, Duration(hcd to subscriber in ms)=1, Duration(subsystem to subscriber in ms)=1, Duration(hcd to assembly in ms)=0
2018-10-23T10:13:41.681Z INFO  enc-event-client-app - Event=diagnostic, diagnostics=(5,6,7,8,9,5,3,2,1,2,3,5,6,7,8), param2=NA, subsystem time=2018-10-23T10:13:41.681Z, hcd time=NA, assembly time=NA, subscriber time=NA, Duration(hcd to subscriber in ms)=NA, Duration(subsystem to subscriber in ms)=NA, Duration(hcd to assembly in ms)=NA
2018-10-23T10:13:41.681Z INFO  enc-event-client-app - Event=diagnostic, diagnostics=(5,6,7,8,9,5,3,2,1,2,3,5,6,7,8), param2=NA, subsystem time=2018-10-23T10:13:41.681Z, hcd time=NA, assembly time=NA, subscriber time=NA, Duration(hcd to subscriber in ms)=NA, Duration(subsystem to subscriber in ms)=NA, Duration(hcd to assembly in ms)=NA
2018-10-23T10:13:41.681Z INFO  enc-event-client-app - Event=health, health=GOOD, reason=good, subsystem time=2018-10-23T10:13:41.681Z, hcd time=NA, assembly time=2018-10-23T10:13:41.681Z, subscriber time=NA, Duration(hcd to subscriber in ms)=NA, Duration(subsystem to subscriber in ms)=NA, Duration(hcd to assembly in ms)=NA
2018-10-23T10:13:41.692Z INFO  enc-event-client-app - Event=currentPosition, base=0.12, cap=0.06, subsystem time=2018-10-23T10:13:41.691Z, hcd time=2018-10-23T10:13:41.691Z, assembly time=2018-10-23T10:13:41.691Z, subscriber time=2018-10-23T10:13:41.691Z, Duration(hcd to subscriber in ms)=0, Duration(subsystem to subscriber in ms)=0, Duration(hcd to assembly in ms)=0
2018-10-23T10:13:41.692Z INFO  enc-event-client-app - Event=currentPosition, base=0.12, cap=0.06, subsystem time=2018-10-23T10:13:41.691Z, hcd time=2018-10-23T10:13:41.691Z, assembly time=2018-10-23T10:13:41.691Z, subscriber time=2018-10-23T10:13:41.692Z, Duration(hcd to subscriber in ms)=1, Duration(subsystem to subscriber in ms)=1, Duration(hcd to assembly in ms)=0
