PK publish timeStamp(t0),Assembly receive timeStamp(t1),HCD receive timeStamp(t2),Simulator receive timeStamp(t3)
2018-12-27T11:04:12.659033, 2018-12-27T11:04:17.012413, 2018-12-27T11:04:17.012869, 2018-12-27T11:04:17.012895
2018-12-27T11:04:12.692952, 2018-12-27T11:04:17.036663, 2018-12-27T11:04:17.037258, 2018-12-27T11:04:17.037275
2018-12-27T11:04:12.708055, 2018-12-27T11:04:17.057701, 2018-12-27T11:04:17.058865, 2018-12-27T11:04:17.058881
2018-12-27T11:04:12.719650, 2018-12-27T11:04:17.099792, 2018-12-27T11:04:17.100329, 2018-12-27T11:04:17.100352
2018-12-27T11:04:12.755085, 2018-12-27T11:04:17.105208, 2018-12-27T11:04:17.105680, 2018-12-27T11:04:17.105705
2018-12-27T11:04:12.769205, 2018-12-27T11:04:17.118746, 2018-12-27T11:04:17.121297, 2018-12-27T11:04:17.121478
2018-12-27T11:04:12.782554, 2018-12-27T11:04:17.154912, 2018-12-27T11:04:17.156377, 2018-12-27T11:04:17.156408
2018-12-27T11:04:12.816381, 2018-12-27T11:04:17.161448, 2018-12-27T11:04:17.163759, 2018-12-27T11:04:17.163792
2018-12-27T11:04:12.828871, 2018-12-27T11:04:17.186367, 2018-12-27T11:04:17.189325, 2018-12-27T11:04:17.189357
2018-12-27T11:04:12.840598, 2018-12-27T11:04:17.198692, 2018-12-27T11:04:17.199623, 2018-12-27T11:04:17.199653
2018-12-27T11:04:12.875946, 2018-12-27T11:04:17.209710, 2018-12-27T11:04:17.211488, 2018-12-27T11:04:17.211511
2018-12-27T11:04:12.888780, 2018-12-27T11:04:17.241865, 2018-12-27T11:04:17.243009, 2018-12-27T11:04:17.243036
2018-12-27T11:04:12.901357, 2018-12-27T11:04:17.255033, 2018-12-27T11:04:17.255802, 2018-12-27T11:04:17.255820
2018-12-27T11:04:12.923189, 2018-12-27T11:04:17.264527, 2018-12-27T11:04:17.268899, 2018-12-27T11:04:17.268933
2018-12-27T11:04:12.935725, 2018-12-27T11:04:17.281992, 2018-12-27T11:04:17.282595, 2018-12-27T11:04:17.282624
2018-12-27T11:04:12.948481, 2018-12-27T11:04:17.297228, 2018-12-27T11:04:17.297672, 2018-12-27T11:04:17.297692
2018-12-27T11:04:12.985952, 2018-12-27T11:04:17.300846, 2018-12-27T11:04:17.301635, 2018-12-27T11:04:17.301663
2018-12-27T11:04:12.996273, 2018-12-27T11:04:17.311260, 2018-12-27T11:04:17.311876, 2018-12-27T11:04:17.311906
2018-12-27T11:04:13.012894, 2018-12-27T11:04:17.318441, 2018-12-27T11:04:17.318930, 2018-12-27T11:04:17.318952
2018-12-27T11:04:13.019442, 2018-12-27T11:04:17.321723, 2018-12-27T11:04:17.322310, 2018-12-27T11:04:17.322337
2018-12-27T11:04:13.031744, 2018-12-27T11:04:17.333199, 2018-12-27T11:04:17.333912, 2018-12-27T11:04:17.333941
2018-12-27T11:04:13.049121, 2018-12-27T11:04:17.340946, 2018-12-27T11:04:17.341548, 2018-12-27T11:04:17.341578
2018-12-27T11:04:13.060425, 2018-12-27T11:04:17.349466, 2018-12-27T11:04:17.349879, 2018-12-27T11:04:17.349896
2018-12-27T11:04:13.072280, 2018-12-27T11:04:17.368167, 2018-12-27T11:04:17.368619, 2018-12-27T11:04:17.368640
2018-12-27T11:04:13.084512, 2018-12-27T11:04:17.385054, 2018-12-27T11:04:17.388029, 2018-12-27T11:04:17.388057
2018-12-27T11:04:13.097154, 2018-12-27T11:04:17.429643, 2018-12-27T11:04:17.430212, 2018-12-27T11:04:17.430231
2018-12-27T11:04:13.108747, 2018-12-27T11:04:17.453166, 2018-12-27T11:04:17.453928, 2018-12-27T11:04:17.453955
2018-12-27T11:04:13.119569, 2018-12-27T11:04:17.493146, 2018-12-27T11:04:17.496979, 2018-12-27T11:04:17.497009
2018-12-27T11:04:13.129322, 2018-12-27T11:04:17.519216, 2018-12-27T11:04:17.519718, 2018-12-27T11:04:17.519744
2018-12-27T11:04:13.142149, 2018-12-27T11:04:17.532444, 2018-12-27T11:04:17.533462, 2018-12-27T11:04:17.533483
2018-12-27T11:04:13.173793, 2018-12-27T11:04:17.544110, 2018-12-27T11:04:17.544663, 2018-12-27T11:04:17.544683
2018-12-27T11:04:13.180319, 2018-12-27T11:04:17.560207, 2018-12-27T11:04:17.568299, 2018-12-27T11:04:17.568334
2018-12-27T11:04:13.194411, 2018-12-27T11:04:17.583263, 2018-12-27T11:04:17.587395, 2018-12-27T11:04:17.587426
2018-12-27T11:04:13.270721, 2018-12-27T11:04:17.596013, 2018-12-27T11:04:17.596497, 2018-12-27T11:04:17.596527
2018-12-27T11:04:13.286485, 2018-12-27T11:04:17.609197, 2018-12-27T11:04:17.609734, 2018-12-27T11:04:17.609763
2018-12-27T11:04:13.298426, 2018-12-27T11:04:17.651295, 2018-12-27T11:04:17.651791, 2018-12-27T11:04:17.651811
2018-12-27T11:04:13.311631, 2018-12-27T11:04:17.667647, 2018-12-27T11:04:17.668193, 2018-12-27T11:04:17.668221
2018-12-27T11:04:13.326097, 2018-12-27T11:04:17.681452, 2018-12-27T11:04:17.681969, 2018-12-27T11:04:17.682209
2018-12-27T11:04:13.337764, 2018-12-27T11:04:17.700862, 2018-12-27T11:04:17.701472, 2018-12-27T11:04:17.701501
2018-12-27T11:04:13.378091, 2018-12-27T11:04:17.708990, 2018-12-27T11:04:17.709559, 2018-12-27T11:04:17.709586
2018-12-27T11:04:13.391932, 2018-12-27T11:04:17.729352, 2018-12-27T11:04:17.730058, 2018-12-27T11:04:17.730084
2018-12-27T11:04:13.405001, 2018-12-27T11:04:17.749572, 2018-12-27T11:04:17.750345, 2018-12-27T11:04:17.750370
2018-12-27T11:04:13.446240, 2018-12-27T11:04:17.761350, 2018-12-27T11:04:17.761792, 2018-12-27T11:04:17.761818
2018-12-27T11:04:13.459801, 2018-12-27T11:04:17.774343, 2018-12-27T11:04:17.775175, 2018-12-27T11:04:17.775194
2018-12-27T11:04:13.472014, 2018-12-27T11:04:17.786771, 2018-12-27T11:04:17.787647, 2018-12-27T11:04:17.787822
2018-12-27T11:04:13.495707, 2018-12-27T11:04:17.813578, 2018-12-27T11:04:17.814533, 2018-12-27T11:04:17.814565
2018-12-27T11:04:13.508930, 2018-12-27T11:04:17.817511, 2018-12-27T11:04:17.818581, 2018-12-27T11:04:17.818608
2018-12-27T11:04:13.519686, 2018-12-27T11:04:17.835131, 2018-12-27T11:04:17.839015, 2018-12-27T11:04:17.840622
2018-12-27T11:04:13.536724, 2018-12-27T11:04:17.852399, 2018-12-27T11:04:17.852829, 2018-12-27T11:04:17.852853
2018-12-27T11:04:13.547983, 2018-12-27T11:04:17.892037, 2018-12-27T11:04:17.893562, 2018-12-27T11:04:17.893594
2018-12-27T11:04:13.559187, 2018-12-27T11:04:17.917402, 2018-12-27T11:04:17.918663, 2018-12-27T11:04:17.918691
2018-12-27T11:04:13.570311, 2018-12-27T11:04:17.939464, 2018-12-27T11:04:17.939992, 2018-12-27T11:04:17.940015
2018-12-27T11:04:13.581024, 2018-12-27T11:04:17.950810, 2018-12-27T11:04:17.951217, 2018-12-27T11:04:17.951238
2018-12-27T11:04:13.591784, 2018-12-27T11:04:17.956070, 2018-12-27T11:04:17.956706, 2018-12-27T11:04:17.956736
2018-12-27T11:04:13.615659, 2018-12-27T11:04:17.968297, 2018-12-27T11:04:17.970959, 2018-12-27T11:04:17.970977
2018-12-27T11:04:13.627224, 2018-12-27T11:04:17.975428, 2018-12-27T11:04:17.975897, 2018-12-27T11:04:17.975925
2018-12-27T11:04:13.643443, 2018-12-27T11:04:17.981672, 2018-12-27T11:04:17.982138, 2018-12-27T11:04:17.982157
2018-12-27T11:04:13.691628, 2018-12-27T11:04:17.985803, 2018-12-27T11:04:17.986274, 2018-12-27T11:04:17.986298
2018-12-27T11:04:13.704554, 2018-12-27T11:04:18.007231, 2018-12-27T11:04:18.008096, 2018-12-27T11:04:18.008124
2018-12-27T11:04:13.720353, 2018-12-27T11:04:18.039711, 2018-12-27T11:04:18.041999, 2018-12-27T11:04:18.042022
2018-12-27T11:04:13.733440, 2018-12-27T11:04:18.048203, 2018-12-27T11:04:18.049331, 2018-12-27T11:04:18.049358
2018-12-27T11:04:13.745725, 2018-12-27T11:04:18.059490, 2018-12-27T11:04:18.060448, 2018-12-27T11:04:18.060476
2018-12-27T11:04:13.758613, 2018-12-27T11:04:18.066792, 2018-12-27T11:04:18.068737, 2018-12-27T11:04:18.068768
2018-12-27T11:04:13.770212, 2018-12-27T11:04:18.080604, 2018-12-27T11:04:18.081361, 2018-12-27T11:04:18.081387
2018-12-27T11:04:13.781185, 2018-12-27T11:04:18.084889, 2018-12-27T11:04:18.085345, 2018-12-27T11:04:18.085365
2018-12-27T11:04:13.795791, 2018-12-27T11:04:18.092881, 2018-12-27T11:04:18.093329, 2018-12-27T11:04:18.093355
2018-12-27T11:04:13.804888, 2018-12-27T11:04:18.095378, 2018-12-27T11:04:18.096666, 2018-12-27T11:04:18.096695
2018-12-27T11:04:13.819015, 2018-12-27T11:04:18.102791, 2018-12-27T11:04:18.103180, 2018-12-27T11:04:18.103202
2018-12-27T11:04:13.829362, 2018-12-27T11:04:18.114089, 2018-12-27T11:04:18.114811, 2018-12-27T11:04:18.114840
2018-12-27T11:04:13.840623, 2018-12-27T11:04:18.141523, 2018-12-27T11:04:18.141964, 2018-12-27T11:04:18.141991
2018-12-27T11:04:13.854317, 2018-12-27T11:04:18.157842, 2018-12-27T11:04:18.158645, 2018-12-27T11:04:18.158668
2018-12-27T11:04:13.865570, 2018-12-27T11:04:18.208904, 2018-12-27T11:04:18.209669, 2018-12-27T11:04:18.209685
2018-12-27T11:04:13.877083, 2018-12-27T11:04:18.223669, 2018-12-27T11:04:18.224521, 2018-12-27T11:04:18.224561
2018-12-27T11:04:13.889089, 2018-12-27T11:04:18.238635, 2018-12-27T11:04:18.239456, 2018-12-27T11:04:18.239486
2018-12-27T11:04:13.902134, 2018-12-27T11:04:18.268203, 2018-12-27T11:04:18.271318, 2018-12-27T11:04:18.271343
2018-12-27T11:04:13.913181, 2018-12-27T11:04:18.279684, 2018-12-27T11:04:18.281951, 2018-12-27T11:04:18.281974
2018-12-27T11:04:13.923721, 2018-12-27T11:04:18.300849, 2018-12-27T11:04:18.303227, 2018-12-27T11:04:18.303247
2018-12-27T11:04:13.935788, 2018-12-27T11:04:18.355787, 2018-12-27T11:04:18.356319, 2018-12-27T11:04:18.356345
2018-12-27T11:04:13.983094, 2018-12-27T11:04:18.367247, 2018-12-27T11:04:18.367815, 2018-12-27T11:04:18.367834
2018-12-27T11:04:13.993937, 2018-12-27T11:04:18.376366, 2018-12-27T11:04:18.377359, 2018-12-27T11:04:18.377379
2018-12-27T11:04:14.004913, 2018-12-27T11:04:18.392025, 2018-12-27T11:04:18.392703, 2018-12-27T11:04:18.392733
2018-12-27T11:04:14.045769, 2018-12-27T11:04:18.397123, 2018-12-27T11:04:18.397847, 2018-12-27T11:04:18.397866
2018-12-27T11:04:14.057900, 2018-12-27T11:04:18.416212, 2018-12-27T11:04:18.418933, 2018-12-27T11:04:18.418953
2018-12-27T11:04:14.073419, 2018-12-27T11:04:18.469532, 2018-12-27T11:04:18.471952, 2018-12-27T11:04:18.471975
2018-12-27T11:04:14.113771, 2018-12-27T11:04:18.485998, 2018-12-27T11:04:18.486759, 2018-12-27T11:04:18.486788
2018-12-27T11:04:14.128621, 2018-12-27T11:04:18.541231, 2018-12-27T11:04:18.542332, 2018-12-27T11:04:18.542358
2018-12-27T11:04:14.142974, 2018-12-27T11:04:18.591413, 2018-12-27T11:04:18.591912, 2018-12-27T11:04:18.591937
2018-12-27T11:04:14.162232, 2018-12-27T11:04:18.606035, 2018-12-27T11:04:18.611974, 2018-12-27T11:04:18.612006
2018-12-27T11:04:14.177398, 2018-12-27T11:04:18.635099, 2018-12-27T11:04:18.636004, 2018-12-27T11:04:18.636034
