PK publish timeStamp(t0),Assembly receive timeStamp(t1),HCD receive timeStamp(t2),Simulator receive timeStamp(t3)
2018-12-27T11:04:18.466503, 2018-12-27T11:04:21.406426, 2018-12-27T11:04:21.406912, 2018-12-27T11:04:21.406937
2018-12-27T11:04:18.478380, 2018-12-27T11:04:21.408113, 2018-12-27T11:04:21.411156, 2018-12-27T11:04:21.411174
2018-12-27T11:04:18.491719, 2018-12-27T11:04:21.414723, 2018-12-27T11:04:21.415136, 2018-12-27T11:04:21.415161
2018-12-27T11:04:18.505783, 2018-12-27T11:04:21.419690, 2018-12-27T11:04:21.421661, 2018-12-27T11:04:21.421685
2018-12-27T11:04:18.518258, 2018-12-27T11:04:21.434530, 2018-12-27T11:04:21.436434, 2018-12-27T11:04:21.436466
2018-12-27T11:04:18.534592, 2018-12-27T11:04:21.437346, 2018-12-27T11:04:21.437769, 2018-12-27T11:04:21.437837
2018-12-27T11:04:18.547715, 2018-12-27T11:04:21.444513, 2018-12-27T11:04:21.444914, 2018-12-27T11:04:21.444937
2018-12-27T11:04:18.561031, 2018-12-27T11:04:21.453521, 2018-12-27T11:04:21.453869, 2018-12-27T11:04:21.453894
2018-12-27T11:04:18.572685, 2018-12-27T11:04:21.458774, 2018-12-27T11:04:21.459185, 2018-12-27T11:04:21.459210
2018-12-27T11:04:18.585893, 2018-12-27T11:04:21.465652, 2018-12-27T11:04:21.466605, 2018-12-27T11:04:21.466635
2018-12-27T11:04:18.597444, 2018-12-27T11:04:21.469681, 2018-12-27T11:04:21.469988, 2018-12-27T11:04:21.470004
2018-12-27T11:04:18.610932, 2018-12-27T11:04:21.475740, 2018-12-27T11:04:21.476162, 2018-12-27T11:04:21.476191
2018-12-27T11:04:18.622342, 2018-12-27T11:04:21.478965, 2018-12-27T11:04:21.481921, 2018-12-27T11:04:21.481954
2018-12-27T11:04:18.636092, 2018-12-27T11:04:21.484314, 2018-12-27T11:04:21.485156, 2018-12-27T11:04:21.485201
2018-12-27T11:04:18.654688, 2018-12-27T11:04:21.490075, 2018-12-27T11:04:21.490689, 2018-12-27T11:04:21.490719
2018-12-27T11:04:18.663246, 2018-12-27T11:04:21.498077, 2018-12-27T11:04:21.498680, 2018-12-27T11:04:21.498709
2018-12-27T11:04:18.674393, 2018-12-27T11:04:21.500269, 2018-12-27T11:04:21.501159, 2018-12-27T11:04:21.501181
2018-12-27T11:04:18.688880, 2018-12-27T11:04:21.509598, 2018-12-27T11:04:21.510200, 2018-12-27T11:04:21.510229
2018-12-27T11:04:18.699930, 2018-12-27T11:04:21.514764, 2018-12-27T11:04:21.515163, 2018-12-27T11:04:21.515181
2018-12-27T11:04:18.711819, 2018-12-27T11:04:21.520740, 2018-12-27T11:04:21.521625, 2018-12-27T11:04:21.521657
2018-12-27T11:04:18.723280, 2018-12-27T11:04:21.524639, 2018-12-27T11:04:21.525344, 2018-12-27T11:04:21.525360
2018-12-27T11:04:18.733571, 2018-12-27T11:04:21.531285, 2018-12-27T11:04:21.531758, 2018-12-27T11:04:21.531788
2018-12-27T11:04:18.744657, 2018-12-27T11:04:21.537256, 2018-12-27T11:04:21.537674, 2018-12-27T11:04:21.537702
2018-12-27T11:04:18.760159, 2018-12-27T11:04:21.540644, 2018-12-27T11:04:21.541080, 2018-12-27T11:04:21.541108
2018-12-27T11:04:18.767707, 2018-12-27T11:04:21.546630, 2018-12-27T11:04:21.547625, 2018-12-27T11:04:21.547647
2018-12-27T11:04:18.785137, 2018-12-27T11:04:21.551650, 2018-12-27T11:04:21.552968, 2018-12-27T11:04:21.552995
2018-12-27T11:04:18.797059, 2018-12-27T11:04:21.560308, 2018-12-27T11:04:21.560643, 2018-12-27T11:04:21.560663
2018-12-27T11:04:18.807827, 2018-12-27T11:04:21.594566, 2018-12-27T11:04:21.595209, 2018-12-27T11:04:21.595233
2018-12-27T11:04:18.821110, 2018-12-27T11:04:21.609796, 2018-12-27T11:04:21.610681, 2018-12-27T11:04:21.610700
2018-12-27T11:04:18.833871, 2018-12-27T11:04:21.615316, 2018-12-27T11:04:21.615737, 2018-12-27T11:04:21.615762
2018-12-27T11:04:18.849476, 2018-12-27T11:04:21.617603, 2018-12-27T11:04:21.618390, 2018-12-27T11:04:21.618415
2018-12-27T11:04:18.860792, 2018-12-27T11:04:21.627150, 2018-12-27T11:04:21.629352, 2018-12-27T11:04:21.629378
2018-12-27T11:04:18.874872, 2018-12-27T11:04:21.647783, 2018-12-27T11:04:21.648237, 2018-12-27T11:04:21.648259
2018-12-27T11:04:18.900058, 2018-12-27T11:04:21.660247, 2018-12-27T11:04:21.660581, 2018-12-27T11:04:21.660593
2018-12-27T11:04:18.903098, 2018-12-27T11:04:21.685864, 2018-12-27T11:04:21.687105, 2018-12-27T11:04:21.687132
2018-12-27T11:04:18.913754, 2018-12-27T11:04:21.701175, 2018-12-27T11:04:21.702271, 2018-12-27T11:04:21.702293
2018-12-27T11:04:18.925443, 2018-12-27T11:04:21.713372, 2018-12-27T11:04:21.714249, 2018-12-27T11:04:21.714272
2018-12-27T11:04:18.938605, 2018-12-27T11:04:21.721754, 2018-12-27T11:04:21.722146, 2018-12-27T11:04:21.722161
2018-12-27T11:04:18.951991, 2018-12-27T11:04:21.727500, 2018-12-27T11:04:21.727991, 2018-12-27T11:04:21.728015
2018-12-27T11:04:18.963017, 2018-12-27T11:04:21.746854, 2018-12-27T11:04:21.747178, 2018-12-27T11:04:21.747200
2018-12-27T11:04:18.974162, 2018-12-27T11:04:21.751210, 2018-12-27T11:04:21.751897, 2018-12-27T11:04:21.751912
2018-12-27T11:04:18.987236, 2018-12-27T11:04:21.760247, 2018-12-27T11:04:21.760578, 2018-12-27T11:04:21.760600
2018-12-27T11:04:19.001406, 2018-12-27T11:04:21.768053, 2018-12-27T11:04:21.768506, 2018-12-27T11:04:21.768531
2018-12-27T11:04:19.012775, 2018-12-27T11:04:21.782409, 2018-12-27T11:04:21.782938, 2018-12-27T11:04:21.782954
2018-12-27T11:04:19.024344, 2018-12-27T11:04:21.796221, 2018-12-27T11:04:21.796604, 2018-12-27T11:04:21.796631
2018-12-27T11:04:19.037611, 2018-12-27T11:04:21.802684, 2018-12-27T11:04:21.803127, 2018-12-27T11:04:21.803147
2018-12-27T11:04:19.048467, 2018-12-27T11:04:21.803993, 2018-12-27T11:04:21.804778, 2018-12-27T11:04:21.804802
2018-12-27T11:04:19.063295, 2018-12-27T11:04:21.808705, 2018-12-27T11:04:21.809098, 2018-12-27T11:04:21.809126
2018-12-27T11:04:19.076913, 2018-12-27T11:04:21.813335, 2018-12-27T11:04:21.813683, 2018-12-27T11:04:21.813701
2018-12-27T11:04:19.087458, 2018-12-27T11:04:21.820296, 2018-12-27T11:04:21.820866, 2018-12-27T11:04:21.820895
2018-12-27T11:04:19.100927, 2018-12-27T11:04:21.823423, 2018-12-27T11:04:21.824567, 2018-12-27T11:04:21.824591
2018-12-27T11:04:19.111518, 2018-12-27T11:04:21.831110, 2018-12-27T11:04:21.832427, 2018-12-27T11:04:21.832456
2018-12-27T11:04:19.127138, 2018-12-27T11:04:21.835051, 2018-12-27T11:04:21.836598, 2018-12-27T11:04:21.836627
2018-12-27T11:04:19.138404, 2018-12-27T11:04:21.849810, 2018-12-27T11:04:21.850408, 2018-12-27T11:04:21.850434
2018-12-27T11:04:19.151393, 2018-12-27T11:04:21.859405, 2018-12-27T11:04:21.860157, 2018-12-27T11:04:21.860189
2018-12-27T11:04:19.164264, 2018-12-27T11:04:21.865105, 2018-12-27T11:04:21.865739, 2018-12-27T11:04:21.865763
2018-12-27T11:04:19.179189, 2018-12-27T11:04:21.875077, 2018-12-27T11:04:21.875668, 2018-12-27T11:04:21.875688
2018-12-27T11:04:19.190999, 2018-12-27T11:04:21.883133, 2018-12-27T11:04:21.883579, 2018-12-27T11:04:21.883607
2018-12-27T11:04:19.201863, 2018-12-27T11:04:21.886009, 2018-12-27T11:04:21.886433, 2018-12-27T11:04:21.886459
2018-12-27T11:04:19.212706, 2018-12-27T11:04:21.898404, 2018-12-27T11:04:21.899220, 2018-12-27T11:04:21.899244
2018-12-27T11:04:19.226339, 2018-12-27T11:04:21.905187, 2018-12-27T11:04:21.905708, 2018-12-27T11:04:21.905729
2018-12-27T11:04:19.239179, 2018-12-27T11:04:21.908559, 2018-12-27T11:04:21.908929, 2018-12-27T11:04:21.908952
2018-12-27T11:04:19.255293, 2018-12-27T11:04:21.919397, 2018-12-27T11:04:21.919895, 2018-12-27T11:04:21.919922
2018-12-27T11:04:19.263117, 2018-12-27T11:04:21.922539, 2018-12-27T11:04:21.922969, 2018-12-27T11:04:21.922992
2018-12-27T11:04:19.274008, 2018-12-27T11:04:21.925351, 2018-12-27T11:04:21.926769, 2018-12-27T11:04:21.926786
2018-12-27T11:04:19.285401, 2018-12-27T11:04:21.984007, 2018-12-27T11:04:21.984425, 2018-12-27T11:04:21.984448
2018-12-27T11:04:19.300198, 2018-12-27T11:04:21.987673, 2018-12-27T11:04:21.988131, 2018-12-27T11:04:21.988158
2018-12-27T11:04:19.312189, 2018-12-27T11:04:21.990680, 2018-12-27T11:04:21.992609, 2018-12-27T11:04:21.992633
2018-12-27T11:04:19.324574, 2018-12-27T11:04:22.001896, 2018-12-27T11:04:22.002350, 2018-12-27T11:04:22.002372
2018-12-27T11:04:19.334116, 2018-12-27T11:04:22.006533, 2018-12-27T11:04:22.007360, 2018-12-27T11:04:22.007385
2018-12-27T11:04:19.346345, 2018-12-27T11:04:22.008390, 2018-12-27T11:04:22.008747, 2018-12-27T11:04:22.008769
2018-12-27T11:04:19.358874, 2018-12-27T11:04:22.014674, 2018-12-27T11:04:22.015092, 2018-12-27T11:04:22.015119
2018-12-27T11:04:19.369923, 2018-12-27T11:04:22.017039, 2018-12-27T11:04:22.017474, 2018-12-27T11:04:22.017499
2018-12-27T11:04:19.380791, 2018-12-27T11:04:22.018533, 2018-12-27T11:04:22.018949, 2018-12-27T11:04:22.018972
2018-12-27T11:04:19.394722, 2018-12-27T11:04:22.021458, 2018-12-27T11:04:22.024346, 2018-12-27T11:04:22.024380
2018-12-27T11:04:19.402062, 2018-12-27T11:04:22.026383, 2018-12-27T11:04:22.026764, 2018-12-27T11:04:22.026786
2018-12-27T11:04:19.413315, 2018-12-27T11:04:22.053436, 2018-12-27T11:04:22.053833, 2018-12-27T11:04:22.053860
2018-12-27T11:04:19.424936, 2018-12-27T11:04:22.055656, 2018-12-27T11:04:22.057309, 2018-12-27T11:04:22.057335
2018-12-27T11:04:19.436345, 2018-12-27T11:04:22.083292, 2018-12-27T11:04:22.083751, 2018-12-27T11:04:22.083780
2018-12-27T11:04:19.446934, 2018-12-27T11:04:22.084980, 2018-12-27T11:04:22.085383, 2018-12-27T11:04:22.085406
2018-12-27T11:04:19.459894, 2018-12-27T11:04:22.089693, 2018-12-27T11:04:22.090263, 2018-12-27T11:04:22.090291
2018-12-27T11:04:19.469725, 2018-12-27T11:04:22.095894, 2018-12-27T11:04:22.096471, 2018-12-27T11:04:22.096498
2018-12-27T11:04:19.485338, 2018-12-27T11:04:22.107674, 2018-12-27T11:04:22.113369, 2018-12-27T11:04:22.113394
2018-12-27T11:04:19.501270, 2018-12-27T11:04:22.120153, 2018-12-27T11:04:22.120566, 2018-12-27T11:04:22.120590
2018-12-27T11:04:19.514320, 2018-12-27T11:04:22.138535, 2018-12-27T11:04:22.138875, 2018-12-27T11:04:22.138898
2018-12-27T11:04:19.526406, 2018-12-27T11:04:22.158418, 2018-12-27T11:04:22.158815, 2018-12-27T11:04:22.158840
2018-12-27T11:04:19.537227, 2018-12-27T11:04:22.159788, 2018-12-27T11:04:22.163366, 2018-12-27T11:04:22.163426
2018-12-27T11:04:19.547785, 2018-12-27T11:04:22.162614, 2018-12-27T11:04:22.163781, 2018-12-27T11:04:22.163795
2018-12-27T11:04:19.559724, 2018-12-27T11:04:22.179524, 2018-12-27T11:04:22.180186, 2018-12-27T11:04:22.180210
2018-12-27T11:04:19.573990, 2018-12-27T11:04:22.181903, 2018-12-27T11:04:22.182286, 2018-12-27T11:04:22.182311
2018-12-27T11:04:19.587078, 2018-12-27T11:04:22.192771, 2018-12-27T11:04:22.195772, 2018-12-27T11:04:22.195794
2018-12-27T11:04:19.599666, 2018-12-27T11:04:22.197304, 2018-12-27T11:04:22.197771, 2018-12-27T11:04:22.197796
2018-12-27T11:04:19.615595, 2018-12-27T11:04:22.204407, 2018-12-27T11:04:22.204796, 2018-12-27T11:04:22.204817
2018-12-27T11:04:19.625506, 2018-12-27T11:04:22.206953, 2018-12-27T11:04:22.207361, 2018-12-27T11:04:22.207384
2018-12-27T11:04:19.638395, 2018-12-27T11:04:22.210708, 2018-12-27T11:04:22.211149, 2018-12-27T11:04:22.211178
2018-12-27T11:04:19.650192, 2018-12-27T11:04:22.224671, 2018-12-27T11:04:22.225122, 2018-12-27T11:04:22.225147
2018-12-27T11:04:19.662560, 2018-12-27T11:04:22.229791, 2018-12-27T11:04:22.230248, 2018-12-27T11:04:22.230273
2018-12-27T11:04:19.673043, 2018-12-27T11:04:22.232767, 2018-12-27T11:04:22.233303, 2018-12-27T11:04:22.233322
2018-12-27T11:04:19.685906, 2018-12-27T11:04:22.254758, 2018-12-27T11:04:22.255388, 2018-12-27T11:04:22.255413
2018-12-27T11:04:19.700439, 2018-12-27T11:04:22.258470, 2018-12-27T11:04:22.258926, 2018-12-27T11:04:22.258953
2018-12-27T11:04:19.711727, 2018-12-27T11:04:22.262574, 2018-12-27T11:04:22.263399, 2018-12-27T11:04:22.263429
2018-12-27T11:04:19.723818, 2018-12-27T11:04:22.266510, 2018-12-27T11:04:22.266919, 2018-12-27T11:04:22.266945
2018-12-27T11:04:19.740548, 2018-12-27T11:04:22.271886, 2018-12-27T11:04:22.272348, 2018-12-27T11:04:22.272377
2018-12-27T11:04:19.751623, 2018-12-27T11:04:22.276335, 2018-12-27T11:04:22.276822, 2018-12-27T11:04:22.276944
2018-12-27T11:04:19.764119, 2018-12-27T11:04:22.282755, 2018-12-27T11:04:22.283112, 2018-12-27T11:04:22.283138
2018-12-27T11:04:19.774923, 2018-12-27T11:04:22.283916, 2018-12-27T11:04:22.284233, 2018-12-27T11:04:22.284247
2018-12-27T11:04:19.788798, 2018-12-27T11:04:22.292596, 2018-12-27T11:04:22.294990, 2018-12-27T11:04:22.295008
2018-12-27T11:04:19.800075, 2018-12-27T11:04:22.294187, 2018-12-27T11:04:22.295048, 2018-12-27T11:04:22.295062
2018-12-27T11:04:19.811173, 2018-12-27T11:04:22.299662, 2018-12-27T11:04:22.300196, 2018-12-27T11:04:22.300227
2018-12-27T11:04:19.824317, 2018-12-27T11:04:22.303209, 2018-12-27T11:04:22.303722, 2018-12-27T11:04:22.303748
2018-12-27T11:04:19.838557, 2018-12-27T11:04:22.312112, 2018-12-27T11:04:22.312551, 2018-12-27T11:04:22.312577
2018-12-27T11:04:19.851791, 2018-12-27T11:04:22.317130, 2018-12-27T11:04:22.317531, 2018-12-27T11:04:22.317565
2018-12-27T11:04:19.866359, 2018-12-27T11:04:22.321315, 2018-12-27T11:04:22.322603, 2018-12-27T11:04:22.322630
2018-12-27T11:04:19.881151, 2018-12-27T11:04:22.324991, 2018-12-27T11:04:22.325431, 2018-12-27T11:04:22.325455
2018-12-27T11:04:19.894405, 2018-12-27T11:04:22.330503, 2018-12-27T11:04:22.332650, 2018-12-27T11:04:22.332683
2018-12-27T11:04:19.908377, 2018-12-27T11:04:22.334676, 2018-12-27T11:04:22.335116, 2018-12-27T11:04:22.335141
2018-12-27T11:04:19.920045, 2018-12-27T11:04:22.343273, 2018-12-27T11:04:22.344028, 2018-12-27T11:04:22.344058
2018-12-27T11:04:19.931358, 2018-12-27T11:04:22.345860, 2018-12-27T11:04:22.346397, 2018-12-27T11:04:22.346416
2018-12-27T11:04:19.942037, 2018-12-27T11:04:22.353942, 2018-12-27T11:04:22.355243, 2018-12-27T11:04:22.355274
2018-12-27T11:04:19.953992, 2018-12-27T11:04:22.377050, 2018-12-27T11:04:22.378874, 2018-12-27T11:04:22.378900
2018-12-27T11:04:19.965117, 2018-12-27T11:04:22.387834, 2018-12-27T11:04:22.388259, 2018-12-27T11:04:22.388280
2018-12-27T11:04:19.985525, 2018-12-27T11:04:22.394424, 2018-12-27T11:04:22.394848, 2018-12-27T11:04:22.394874
2018-12-27T11:04:19.990751, 2018-12-27T11:04:22.404365, 2018-12-27T11:04:22.408085, 2018-12-27T11:04:22.408121
2018-12-27T11:04:20.004429, 2018-12-27T11:04:22.405622, 2018-12-27T11:04:22.408637, 2018-12-27T11:04:22.408655
2018-12-27T11:04:20.019470, 2018-12-27T11:04:22.410342, 2018-12-27T11:04:22.410697, 2018-12-27T11:04:22.410720
2018-12-27T11:04:20.033713, 2018-12-27T11:04:22.416499, 2018-12-27T11:04:22.416845, 2018-12-27T11:04:22.416870
2018-12-27T11:04:20.046149, 2018-12-27T11:04:22.423454, 2018-12-27T11:04:22.423867, 2018-12-27T11:04:22.423893
2018-12-27T11:04:20.057015, 2018-12-27T11:04:22.431341, 2018-12-27T11:04:22.434777, 2018-12-27T11:04:22.434805
2018-12-27T11:04:20.070007, 2018-12-27T11:04:22.441354, 2018-12-27T11:04:22.442136, 2018-12-27T11:04:22.442159
2018-12-27T11:04:20.084140, 2018-12-27T11:04:22.441413, 2018-12-27T11:04:22.442153, 2018-12-27T11:04:22.442207
2018-12-27T11:04:20.095196, 2018-12-27T11:04:22.447637, 2018-12-27T11:04:22.448381, 2018-12-27T11:04:22.448402
2018-12-27T11:04:20.120977, 2018-12-27T11:04:22.463853, 2018-12-27T11:04:22.464149, 2018-12-27T11:04:22.464171
2018-12-27T11:04:20.121102, 2018-12-27T11:04:22.474395, 2018-12-27T11:04:22.474671, 2018-12-27T11:04:22.474691
2018-12-27T11:04:20.129589, 2018-12-27T11:04:22.477871, 2018-12-27T11:04:22.478344, 2018-12-27T11:04:22.478368
2018-12-27T11:04:20.140781, 2018-12-27T11:04:22.492825, 2018-12-27T11:04:22.493191, 2018-12-27T11:04:22.493217
2018-12-27T11:04:20.153319, 2018-12-27T11:04:22.505531, 2018-12-27T11:04:22.505861, 2018-12-27T11:04:22.505883
2018-12-27T11:04:20.167537, 2018-12-27T11:04:22.511998, 2018-12-27T11:04:22.512354, 2018-12-27T11:04:22.512375
2018-12-27T11:04:20.179239, 2018-12-27T11:04:22.522701, 2018-12-27T11:04:22.523098, 2018-12-27T11:04:22.523122
2018-12-27T11:04:20.194455, 2018-12-27T11:04:22.525450, 2018-12-27T11:04:22.525861, 2018-12-27T11:04:22.525884
2018-12-27T11:04:20.206179, 2018-12-27T11:04:22.526550, 2018-12-27T11:04:22.527080, 2018-12-27T11:04:22.527103
2018-12-27T11:04:20.219146, 2018-12-27T11:04:22.531914, 2018-12-27T11:04:22.536489, 2018-12-27T11:04:22.536551
2018-12-27T11:04:20.229851, 2018-12-27T11:04:22.531974, 2018-12-27T11:04:22.536510, 2018-12-27T11:04:22.536586
2018-12-27T11:04:20.251353, 2018-12-27T11:04:22.538318, 2018-12-27T11:04:22.541205, 2018-12-27T11:04:22.541222
2018-12-27T11:04:20.267066, 2018-12-27T11:04:22.545151, 2018-12-27T11:04:22.545522, 2018-12-27T11:04:22.545551
2018-12-27T11:04:20.280334, 2018-12-27T11:04:22.550047, 2018-12-27T11:04:22.550442, 2018-12-27T11:04:22.550464
2018-12-27T11:04:20.291230, 2018-12-27T11:04:22.555429, 2018-12-27T11:04:22.555735, 2018-12-27T11:04:22.555757
2018-12-27T11:04:20.304511, 2018-12-27T11:04:22.560525, 2018-12-27T11:04:22.561268, 2018-12-27T11:04:22.561283
2018-12-27T11:04:20.316124, 2018-12-27T11:04:22.567639, 2018-12-27T11:04:22.568312, 2018-12-27T11:04:22.568337
2018-12-27T11:04:20.327943, 2018-12-27T11:04:22.577472, 2018-12-27T11:04:22.578014, 2018-12-27T11:04:22.578038
2018-12-27T11:04:20.340667, 2018-12-27T11:04:22.605418, 2018-12-27T11:04:22.609357, 2018-12-27T11:04:22.609383
2018-12-27T11:04:20.352627, 2018-12-27T11:04:22.605474, 2018-12-27T11:04:22.609379, 2018-12-27T11:04:22.609459
2018-12-27T11:04:20.364166, 2018-12-27T11:04:22.611633, 2018-12-27T11:04:22.612111, 2018-12-27T11:04:22.612125
2018-12-27T11:04:20.387739, 2018-12-27T11:04:22.612890, 2018-12-27T11:04:22.613397, 2018-12-27T11:04:22.613414
2018-12-27T11:04:20.392761, 2018-12-27T11:04:22.615370, 2018-12-27T11:04:22.615889, 2018-12-27T11:04:22.615914
2018-12-27T11:04:20.403943, 2018-12-27T11:04:22.617586, 2018-12-27T11:04:22.617969, 2018-12-27T11:04:22.617992
2018-12-27T11:04:20.417962, 2018-12-27T11:04:22.648256, 2018-12-27T11:04:22.649289, 2018-12-27T11:04:22.649313
2018-12-27T11:04:20.430754, 2018-12-27T11:04:22.652600, 2018-12-27T11:04:22.652992, 2018-12-27T11:04:22.653007
2018-12-27T11:04:20.442000, 2018-12-27T11:04:22.656598, 2018-12-27T11:04:22.658363, 2018-12-27T11:04:22.658389
2018-12-27T11:04:20.454193, 2018-12-27T11:04:22.661033, 2018-12-27T11:04:22.662197, 2018-12-27T11:04:22.662222
2018-12-27T11:04:20.468291, 2018-12-27T11:04:22.664353, 2018-12-27T11:04:22.664848, 2018-12-27T11:04:22.664879
2018-12-27T11:04:20.484420, 2018-12-27T11:04:22.681429, 2018-12-27T11:04:22.684018, 2018-12-27T11:04:22.684049
2018-12-27T11:04:20.496243, 2018-12-27T11:04:22.695824, 2018-12-27T11:04:22.696171, 2018-12-27T11:04:22.696192
2018-12-27T11:04:20.509327, 2018-12-27T11:04:22.698501, 2018-12-27T11:04:22.701398, 2018-12-27T11:04:22.701424
2018-12-27T11:04:20.521610, 2018-12-27T11:04:22.701432, 2018-12-27T11:04:22.701835, 2018-12-27T11:04:22.701852
2018-12-27T11:04:20.536976, 2018-12-27T11:04:22.706695, 2018-12-27T11:04:22.707019, 2018-12-27T11:04:22.707039
2018-12-27T11:04:20.547185, 2018-12-27T11:04:22.743373, 2018-12-27T11:04:22.744598, 2018-12-27T11:04:22.744635
2018-12-27T11:04:20.557760, 2018-12-27T11:04:22.751566, 2018-12-27T11:04:22.752095, 2018-12-27T11:04:22.752123
2018-12-27T11:04:20.568283, 2018-12-27T11:04:22.753567, 2018-12-27T11:04:22.753984, 2018-12-27T11:04:22.754008
2018-12-27T11:04:20.579028, 2018-12-27T11:04:22.755201, 2018-12-27T11:04:22.755585, 2018-12-27T11:04:22.755611
2018-12-27T11:04:20.590007, 2018-12-27T11:04:22.765427, 2018-12-27T11:04:22.765823, 2018-12-27T11:04:22.765847
2018-12-27T11:04:20.604510, 2018-12-27T11:04:22.770821, 2018-12-27T11:04:22.771593, 2018-12-27T11:04:22.771614
2018-12-27T11:04:20.616777, 2018-12-27T11:04:22.785400, 2018-12-27T11:04:22.785827, 2018-12-27T11:04:22.785851
2018-12-27T11:04:20.627429, 2018-12-27T11:04:22.803715, 2018-12-27T11:04:22.805399, 2018-12-27T11:04:22.805429
2018-12-27T11:04:20.640741, 2018-12-27T11:04:22.806826, 2018-12-27T11:04:22.807300, 2018-12-27T11:04:22.807322
2018-12-27T11:04:20.651460, 2018-12-27T11:04:22.812273, 2018-12-27T11:04:22.812841, 2018-12-27T11:04:22.812863
2018-12-27T11:04:20.661955, 2018-12-27T11:04:22.816609, 2018-12-27T11:04:22.816947, 2018-12-27T11:04:22.816969
2018-12-27T11:04:20.673012, 2018-12-27T11:04:22.819529, 2018-12-27T11:04:22.819950, 2018-12-27T11:04:22.819964
2018-12-27T11:04:20.683957, 2018-12-27T11:04:22.825405, 2018-12-27T11:04:22.826190, 2018-12-27T11:04:22.826217
2018-12-27T11:04:20.695112, 2018-12-27T11:04:22.829325, 2018-12-27T11:04:22.832234, 2018-12-27T11:04:22.832263
2018-12-27T11:04:20.707390, 2018-12-27T11:04:22.831344, 2018-12-27T11:04:22.832252, 2018-12-27T11:04:22.832316
2018-12-27T11:04:20.720876, 2018-12-27T11:04:22.838233, 2018-12-27T11:04:22.838593, 2018-12-27T11:04:22.838617
2018-12-27T11:04:20.733173, 2018-12-27T11:04:22.841130, 2018-12-27T11:04:22.842254, 2018-12-27T11:04:22.842277
2018-12-27T11:04:20.746098, 2018-12-27T11:04:22.846074, 2018-12-27T11:04:22.847094, 2018-12-27T11:04:22.847119
2018-12-27T11:04:20.792707, 2018-12-27T11:04:22.849402, 2018-12-27T11:04:22.849805, 2018-12-27T11:04:22.849831
2018-12-27T11:04:20.792857, 2018-12-27T11:04:22.855197, 2018-12-27T11:04:22.855570, 2018-12-27T11:04:22.855593
2018-12-27T11:04:20.799437, 2018-12-27T11:04:22.857570, 2018-12-27T11:04:22.857958, 2018-12-27T11:04:22.857980
2018-12-27T11:04:20.799498, 2018-12-27T11:04:22.860583, 2018-12-27T11:04:22.863049, 2018-12-27T11:04:22.863073
2018-12-27T11:04:20.804699, 2018-12-27T11:04:22.862581, 2018-12-27T11:04:22.863138, 2018-12-27T11:04:22.863150
2018-12-27T11:04:20.815203, 2018-12-27T11:04:22.870692, 2018-12-27T11:04:22.871169, 2018-12-27T11:04:22.871187
2018-12-27T11:04:20.827960, 2018-12-27T11:04:22.874292, 2018-12-27T11:04:22.874691, 2018-12-27T11:04:22.874713
2018-12-27T11:04:20.843634, 2018-12-27T11:04:22.876463, 2018-12-27T11:04:22.876843, 2018-12-27T11:04:22.876864
2018-12-27T11:04:20.856790, 2018-12-27T11:04:22.884116, 2018-12-27T11:04:22.885142, 2018-12-27T11:04:22.885165
2018-12-27T11:04:20.867465, 2018-12-27T11:04:22.886398, 2018-12-27T11:04:22.886721, 2018-12-27T11:04:22.886743
2018-12-27T11:04:20.878107, 2018-12-27T11:04:22.888889, 2018-12-27T11:04:22.892374, 2018-12-27T11:04:22.892392
2018-12-27T11:04:20.888914, 2018-12-27T11:04:22.895088, 2018-12-27T11:04:22.895487, 2018-12-27T11:04:22.895512
2018-12-27T11:04:20.901297, 2018-12-27T11:04:22.897386, 2018-12-27T11:04:22.897767, 2018-12-27T11:04:22.897791
2018-12-27T11:04:20.912111, 2018-12-27T11:04:22.900120, 2018-12-27T11:04:22.900450, 2018-12-27T11:04:22.900474
2018-12-27T11:04:20.924560, 2018-12-27T11:04:22.904344, 2018-12-27T11:04:22.905260, 2018-12-27T11:04:22.905285
2018-12-27T11:04:20.935848, 2018-12-27T11:04:22.917246, 2018-12-27T11:04:22.918391, 2018-12-27T11:04:22.918417
2018-12-27T11:04:20.947564, 2018-12-27T11:04:22.922379, 2018-12-27T11:04:22.922849, 2018-12-27T11:04:22.922860
2018-12-27T11:04:20.958122, 2018-12-27T11:04:22.925163, 2018-12-27T11:04:22.925457, 2018-12-27T11:04:22.925479
2018-12-27T11:04:20.968737, 2018-12-27T11:04:22.929483, 2018-12-27T11:04:22.929960, 2018-12-27T11:04:22.929981
2018-12-27T11:04:20.979611, 2018-12-27T11:04:22.930732, 2018-12-27T11:04:22.934205, 2018-12-27T11:04:22.934225
2018-12-27T11:04:20.994663, 2018-12-27T11:04:22.943197, 2018-12-27T11:04:22.943556, 2018-12-27T11:04:22.943577
2018-12-27T11:04:21.005148, 2018-12-27T11:04:22.944228, 2018-12-27T11:04:22.944661, 2018-12-27T11:04:22.944677
2018-12-27T11:04:21.017178, 2018-12-27T11:04:22.949389, 2018-12-27T11:04:22.949782, 2018-12-27T11:04:22.949831
2018-12-27T11:04:21.027883, 2018-12-27T11:04:22.956957, 2018-12-27T11:04:22.957349, 2018-12-27T11:04:22.957371
2018-12-27T11:04:21.038956, 2018-12-27T11:04:22.960185, 2018-12-27T11:04:22.960629, 2018-12-27T11:04:22.960652
